timestamp,satellites,hdop,vibration_x,gps_trust_score,action_taken,target_trust_score
2025-11-19 18:30:01,14,1.28,6.14,0.94,Nominal,0.99
2025-11-19 18:30:01,13,1.32,2.1,0.94,Nominal,0.8748944957903282
2025-11-19 18:30:01,12,1.37,6.37,0.94,Nominal,0.9418267181687641
2025-11-19 18:30:01,14,1.41,2.15,0.94,Nominal,0.9118274707646926
2025-11-19 18:30:01,12,1.25,4.7,0.94,Nominal,0.9599212314911751
2025-11-19 18:30:01,13,1.53,4.46,0.9,Nominal,0.8611071590604625
2025-11-19 18:30:01,14,1.09,6.16,0.95,Nominal,0.8747402947822697
2025-11-19 18:30:01,13,1.51,6.99,0.92,Nominal,0.8345944717310112
2025-11-19 18:30:01,13,1.44,4.08,0.94,Nominal,0.8319557366515917
2025-11-19 18:30:01,13,1.03,7.51,0.94,Nominal,0.9274391920206405
2025-11-19 18:30:01,14,1.26,4.79,0.94,Nominal,0.8979500199198089
2025-11-19 18:30:01,14,1.29,4.62,0.94,Nominal,0.8383478154748444
2025-11-19 18:30:01,14,1.01,2.8,0.94,Nominal,0.871182881725835
2025-11-19 18:30:01,13,1.36,6.79,0.94,Nominal,0.904327079317835
2025-11-19 18:30:01,15,1.59,7.54,0.85,Nominal,0.8506511104487876
2025-11-19 18:30:01,13,1.3,2.14,0.94,Nominal,0.916136183857947
2025-11-19 18:30:01,14,1.43,5.33,0.94,Nominal,0.981253454899793
2025-11-19 18:30:01,14,1.55,7.71,0.89,Nominal,0.9689727676017748
2025-11-19 18:30:01,12,1.08,3.45,0.94,Nominal,0.8061708587522294
2025-11-19 18:30:01,15,1.15,7.7,0.95,Nominal,0.8304223040783956
2025-11-19 18:30:01,12,1.0,7.53,0.94,Nominal,0.8690450246405048
2025-11-19 18:30:01,14,1.21,7.25,0.95,Nominal,0.9425211649119098
2025-11-19 18:30:01,12,1.33,2.72,0.94,Nominal,0.9634962511419762
2025-11-19 18:30:01,13,1.32,4.49,0.94,Nominal,0.8375944667253399
2025-11-19 18:30:01,12,1.29,2.07,0.94,Nominal,0.8790674435713287
2025-11-19 18:30:01,13,1.11,5.51,0.94,Nominal,0.9251556688640159
2025-11-19 18:30:01,12,1.13,3.24,0.94,Nominal,0.9079889105263874
2025-11-19 18:30:01,14,1.38,5.42,0.94,Nominal,0.99
2025-11-19 18:30:01,14,1.43,5.16,0.94,Nominal,0.8265607832963081
2025-11-19 18:30:01,13,1.42,5.68,0.94,Nominal,0.8273965354305439
2025-11-19 18:30:01,15,1.45,4.69,0.94,Nominal,0.9854217205591568
2025-11-19 18:30:01,13,1.32,3.0,0.94,Nominal,0.9845178623303982
2025-11-19 18:30:01,13,1.59,2.24,0.85,Nominal,0.9458319619619331
2025-11-19 18:30:01,12,1.09,2.14,0.94,Nominal,0.8171014541790249
2025-11-19 18:30:01,12,1.37,2.18,0.94,Nominal,0.8061703820437861
